loan_type,loan_purpose,business_or_commercial,loan_amount,rate_of_interest,term,income,age,Status
Personal Loan,Other,Personal,96500,3.99,360.0,3600.0,35-44,1
Personal Loan,Home Purchase,Personal,306500,4.25,360.0,7080.0,55-64,0
Personal Loan,Business Expansion,Personal,486500,3.875,360.0,7740.0,35-44,0
Personal Loan,Home Purchase,Personal,376500,4.5,360.0,7020.0,25-34,0
Personal Loan,Business Expansion,Personal,406500,3.99,300.0,3000.0,65-74,1
Mortgage Loan,Home Purchase,Personal,266500,4.375,324.0,3840.0,55-64,0
Personal Loan,Business Expansion,Personal,106500,4.625,360.0,8160.0,55-64,0
Personal Loan,Home Purchase,Personal,196500,4.75,360.0,3840.0,25-34,0
Personal Loan,Other,Personal,726500,3.99,360.0,18000.0,55-64,1
Personal Loan,Other,Personal,596500,3.5,360.0,5880.0,35-44,0
Personal Loan,Business Expansion,Personal,336500,4.125,360.0,4440.0,55-64,0
Personal Loan,Home Purchase,Personal,316500,4.125,360.0,5760.0,35-44,0
Personal Loan,Other,Personal,166500,3.875,360.0,2760.0,65-74,0
Personal Loan,Business Expansion,Personal,476500,4.875,360.0,5700.0,65-74,0
Personal Loan,Business Expansion,Personal,396500,3.99,240.0,6780.0,45-54,0
Personal Loan,Business Expansion,Personal,486500,3.625,360.0,13140.0,55-64,0
Personal Loan,Other,Personal,376500,3.75,360.0,8700.0,45-54,0
Personal Loan,Business Expansion,Personal,356500,3.375,360.0,5220.0,55-64,0
Personal Loan,Home Purchase,Personal,116500,3.99,360.0,6000.0,65-74,0
Mortgage Loan,Business Expansion,Personal,136500,3.99,360.0,4200.0,65-74,1
Personal Loan,Other,Personal,486500,4.125,360.0,4920.0,25-34,0
Personal Loan,Other,Personal,326500,3.99,180.0,6060.0,65-74,1
Personal Loan,Other,Personal,276500,4.56,360.0,5580.0,45-54,0
Personal Loan,Business Expansion,Personal,256500,3.75,360.0,6180.0,45-54,0
Mortgage Loan,Other,Personal,436500,3.25,360.0,5760.0,45-54,0
Business Loan,Business Expansion,Business,146500,3.5,360.0,2520.0,25-34,0
Business Loan,Home Purchase,Business,146500,3.99,360.0,3720.0,55-64,1
Personal Loan,Other,Personal,436500,3.75,360.0,10380.0,45-54,0
Personal Loan,Business Expansion,Personal,166500,4.5,360.0,2520.0,45-54,0
Personal Loan,Home Purchase,Personal,476500,4.375,360.0,7020.0,55-64,0
Mortgage Loan,Other,Personal,236500,3.99,360.0,3360.0,>74,1
Personal Loan,Home Purchase,Personal,1006500,3.99,360.0,18960.0,35-44,1
Personal Loan,Business Expansion,Personal,126500,4.375,240.0,2340.0,55-64,0
Personal Loan,Home Purchase,Personal,416500,3.99,360.0,8100.0,65-74,1
Personal Loan,Business Expansion,Personal,206500,4.5,360.0,2580.0,65-74,0
Personal Loan,Business Expansion,Personal,206500,4.125,360.0,5760.0,45-54,0
Personal Loan,Home Purchase,Personal,526500,4.375,360.0,7140.0,25-34,0
Personal Loan,Other,Personal,626500,3.5,240.0,23400.0,35-44,0
Personal Loan,Business Expansion,Personal,526500,4.25,360.0,9480.0,25-34,0
Personal Loan,Other,Personal,256500,4.99,360.0,5040.0,45-54,0
Personal Loan,Business Expansion,Personal,536500,3.99,360.0,15600.0,35-44,1
Personal Loan,Other,Personal,416500,3.25,360.0,4920.0,55-64,0
Personal Loan,Business Expansion,Personal,416500,3.99,360.0,6600.0,55-64,0
Business Loan,Other,Business,246500,3.0,360.0,5400.0,55-64,0
Personal Loan,Other,Personal,366500,3.125,180.0,10560.0,25-34,0
Personal Loan,Business Expansion,Personal,286500,3.99,312.0,4440.0,65-74,0
Personal Loan,Business Expansion,Personal,486500,3.875,360.0,4680.0,45-54,0
Mortgage Loan,Business Expansion,Personal,116500,3.99,360.0,2820.0,65-74,1
Personal Loan,Home Purchase,Personal,136500,4.25,180.0,2940.0,55-64,0
Mortgage Loan,Business Expansion,Personal,456500,3.99,360.0,6180.0,35-44,1
Business Loan,Other,Business,366500,3.99,360.0,4920.0,65-74,1
Personal Loan,Home Purchase,Personal,376500,3.99,360.0,8160.0,55-64,1
Personal Loan,Home Purchase,Personal,166500,3.99,360.0,1620.0,65-74,1
Personal Loan,Other,Personal,366500,3.25,360.0,5100.0,25-34,0
Personal Loan,Business Expansion,Personal,416500,4.56,360.0,21600.0,65-74,0
Personal Loan,Business Expansion,Personal,86500,5.25,360.0,6540.0,35-44,0
Personal Loan,Other,Personal,716500,4.5,360.0,13980.0,55-64,0
Personal Loan,Other,Personal,216500,4.18,360.0,2760.0,35-44,0
Personal Loan,Home Purchase,Personal,246500,3.5,180.0,13020.0,65-74,0
Personal Loan,Business Expansion,Personal,116500,4.56,360.0,1380.0,35-44,0
Mortgage Loan,Home Purchase,Personal,486500,3.0,360.0,12780.0,25-34,0
Mortgage Loan,Other,Personal,366500,3.99,360.0,0.0,45-54,1
Personal Loan,Business Expansion,Personal,316500,3.99,360.0,5100.0,45-54,1
Personal Loan,Business Expansion,Personal,206500,5.875,360.0,5220.0,45-54,0
Business Loan,Business Expansion,Business,206500,4.625,360.0,4980.0,55-64,0
Personal Loan,Business Expansion,Personal,146500,4.25,360.0,3180.0,35-44,0
Personal Loan,Home Purchase,Personal,146500,4.625,360.0,2880.0,55-64,0
Personal Loan,Home Purchase,Personal,426500,4.5,360.0,4920.0,35-44,0
Personal Loan,Home Purchase,Personal,216500,3.875,180.0,7500.0,25-34,0
Personal Loan,Business Expansion,Personal,436500,2.875,96.0,15600.0,45-54,0
Personal Loan,Other,Personal,296500,3.625,360.0,15060.0,55-64,0
Mortgage Loan,Other,Personal,306500,2.99,360.0,5760.0,35-44,0
Personal Loan,Other,Personal,156500,3.99,360.0,11820.0,65-74,1
Business Loan,Other,Business,146500,3.99,360.0,4140.0,55-64,1
Business Loan,Business Expansion,Business,166500,4.125,360.0,3060.0,55-64,0
Business Loan,Other,Business,106500,3.99,360.0,2820.0,55-64,1
Personal Loan,Business Expansion,Personal,396500,4.5,360.0,4440.0,>74,0
Mortgage Loan,Other,Personal,316500,3.99,360.0,0.0,25-34,1
Personal Loan,Other,Personal,206500,4.875,300.0,11400.0,55-64,0
Business Loan,Home Purchase,Business,96500,3.99,360.0,3120.0,45-54,1
Personal Loan,Home Purchase,Personal,56500,5.25,360.0,7860.0,25-34,0
Personal Loan,Other,Personal,326500,4.25,360.0,5280.0,45-54,0
Personal Loan,Business Expansion,Personal,916500,4.56,360.0,15840.0,35-44,0
Business Loan,Business Expansion,Business,116500,3.99,360.0,1920.0,55-64,1
Personal Loan,Business Expansion,Personal,316500,3.99,360.0,8940.0,65-74,1
Personal Loan,Other,Personal,286500,4.0,360.0,3240.0,25-34,0
Personal Loan,Business Expansion,Personal,216500,4.125,360.0,4320.0,65-74,0
Personal Loan,Business Expansion,Personal,176500,5.375,360.0,5100.0,45-54,0
Business Loan,Home Purchase,Business,396500,3.25,360.0,7860.0,55-64,0
Personal Loan,Other,Personal,496500,3.75,360.0,10380.0,55-64,0
Personal Loan,Home Purchase,Personal,596500,4.25,360.0,10080.0,45-54,0
Personal Loan,Business Expansion,Personal,206500,3.99,360.0,3180.0,>74,0
Personal Loan,Home Purchase,Personal,566500,4.375,360.0,6300.0,35-44,0
Personal Loan,Other,Personal,156500,4.5,360.0,3000.0,<25,0
Business Loan,Business Expansion,Business,206500,3.99,360.0,3120.0,45-54,0
Personal Loan,Other,Personal,246500,4.25,360.0,4980.0,35-44,0
Mortgage Loan,Other,Personal,336500,3.25,360.0,5760.0,55-64,0
Mortgage Loan,Other,Personal,276500,2.875,360.0,5760.0,35-44,0
Personal Loan,Business Expansion,Personal,336500,3.75,360.0,6180.0,55-64,0
Personal Loan,Home Purchase,Personal,106500,3.99,360.0,2880.0,35-44,1
Personal Loan,Other,Personal,226500,3.625,180.0,5220.0,35-44,0
Personal Loan,Business Expansion,Personal,326500,3.99,360.0,3840.0,45-54,1
Mortgage Loan,Business Expansion,Personal,146500,3.25,360.0,2760.0,>74,0
Personal Loan,Home Purchase,Personal,426500,4.375,360.0,10920.0,65-74,0
Personal Loan,Business Expansion,Personal,236500,4.125,360.0,6000.0,>74,0
Personal Loan,Other,Personal,446500,3.99,324.0,5340.0,35-44,0
Personal Loan,Business Expansion,Personal,756500,3.99,360.0,8520.0,65-74,1
Personal Loan,Other,Personal,306500,4.5,360.0,11640.0,65-74,0
Personal Loan,Other,Personal,496500,3.625,360.0,4800.0,55-64,0
Mortgage Loan,Other,Personal,386500,2.99,360.0,5760.0,45-54,0
Personal Loan,Other,Personal,416500,4.25,360.0,10080.0,55-64,0
Personal Loan,Business Expansion,Personal,186500,4.5,360.0,4920.0,55-64,0
Personal Loan,Business Expansion,Personal,296500,4.375,360.0,3900.0,55-64,0
Mortgage Loan,Home Purchase,Personal,56500,4.25,360.0,1440.0,25-34,0
Personal Loan,Home Purchase,Personal,256500,3.5,360.0,5700.0,25-34,0
Business Loan,Business Expansion,Business,236500,4.25,360.0,3660.0,45-54,0
Personal Loan,Business Expansion,Personal,886500,4.875,360.0,12000.0,55-64,0
Personal Loan,Other,Personal,236500,3.69,360.0,6300.0,55-64,0
Business Loan,Business Expansion,Business,136500,4.75,360.0,1860.0,55-64,0
Personal Loan,Other,Personal,496500,2.375,360.0,19620.0,>74,0
Mortgage Loan,Business Expansion,Personal,306500,4.75,360.0,3480.0,65-74,0
Business Loan,Home Purchase,Business,326500,3.375,360.0,7080.0,45-54,0
Personal Loan,Business Expansion,Personal,486500,3.625,300.0,15540.0,35-44,0
Personal Loan,Other,Personal,396500,3.625,360.0,6600.0,25-34,0
Business Loan,Home Purchase,Business,76500,3.99,360.0,960.0,45-54,1
Personal Loan,Other,Personal,276500,3.75,240.0,7080.0,35-44,0
Personal Loan,Home Purchase,Personal,286500,4.125,360.0,7860.0,45-54,0
Personal Loan,Other,Personal,606500,4.18,360.0,7740.0,55-64,0
Business Loan,Business Expansion,Business,326500,3.99,360.0,5100.0,55-64,1
Personal Loan,Other,Personal,526500,3.75,360.0,5880.0,35-44,0
Personal Loan,Other,Personal,366500,3.75,360.0,5160.0,35-44,0
Personal Loan,Other,Personal,506500,4.75,360.0,8460.0,45-54,0
Personal Loan,Business Expansion,Personal,146500,3.99,360.0,2280.0,>74,1
Personal Loan,Home Purchase,Personal,286500,3.625,360.0,5280.0,45-54,0
Personal Loan,Business Expansion,Personal,316500,4.56,360.0,12060.0,35-44,0
Business Loan,Home Purchase,Business,346500,3.99,360.0,3900.0,55-64,1
Personal Loan,Business Expansion,Personal,176500,4.375,120.0,8160.0,45-54,0
Personal Loan,Other,Personal,566500,3.99,360.0,11580.0,25-34,0
Mortgage Loan,Home Purchase,Personal,256500,4.875,360.0,6300.0,65-74,0
Personal Loan,Other,Personal,506500,3.99,240.0,4560.0,65-74,1
Personal Loan,Other,Personal,266500,3.5,240.0,9780.0,35-44,0
Personal Loan,Business Expansion,Personal,136500,3.99,240.0,4260.0,25-34,1
Personal Loan,Other,Personal,396500,3.0,180.0,13560.0,25-34,0
Personal Loan,Other,Personal,486500,4.375,240.0,12840.0,45-54,0
Mortgage Loan,Home Purchase,Personal,246500,4.625,360.0,5700.0,55-64,0
Personal Loan,Business Expansion,Personal,96500,4.5,360.0,2160.0,65-74,0
Personal Loan,Other,Personal,676500,4.18,360.0,9180.0,25-34,0
Personal Loan,Other,Personal,476500,3.5,348.0,8460.0,25-34,0
Personal Loan,Business Expansion,Personal,246500,3.99,240.0,6480.0,65-74,0
Personal Loan,Other,Personal,346500,3.125,180.0,12360.0,35-44,0
Personal Loan,Education,Personal,106500,4.99,360.0,3840.0,35-44,0
Personal Loan,Business Expansion,Personal,126500,3.99,360.0,1620.0,65-74,0
Business Loan,Other,Business,126500,3.5,360.0,4860.0,25-34,0
Personal Loan,Other,Personal,546500,4.375,360.0,7380.0,35-44,0
Business Loan,Home Purchase,Business,76500,3.99,360.0,0.0,65-74,1
Personal Loan,Home Purchase,Personal,306500,3.99,360.0,3420.0,>74,1
Personal Loan,Business Expansion,Personal,386500,3.99,180.0,10680.0,55-64,0
Personal Loan,Home Purchase,Personal,726500,4.125,360.0,10500.0,45-54,0
Personal Loan,Other,Personal,246500,3.99,240.0,6660.0,35-44,0
Personal Loan,Other,Personal,276500,3.99,360.0,5100.0,55-64,0
Personal Loan,Business Expansion,Personal,266500,4.75,360.0,5580.0,35-44,0
Mortgage Loan,Home Purchase,Personal,146500,4.375,360.0,2760.0,25-34,0
Personal Loan,Other,Personal,386500,3.75,360.0,5640.0,55-64,0
Mortgage Loan,Home Purchase,Personal,486500,3.99,360.0,4860.0,55-64,1
Personal Loan,Other,Personal,196500,3.99,324.0,4920.0,65-74,0
Business Loan,Business Expansion,Business,106500,3.99,360.0,2400.0,55-64,1
Business Loan,Business Expansion,Business,526500,4.5,360.0,8520.0,45-54,0
Mortgage Loan,Other,Personal,436500,3.125,360.0,5760.0,45-54,0
Personal Loan,Business Expansion,Personal,536500,5.25,360.0,6900.0,45-54,0
Personal Loan,Home Purchase,Personal,356500,3.99,360.0,5220.0,35-44,0
Personal Loan,Education,Personal,256500,3.875,360.0,7200.0,55-64,0
Business Loan,Business Expansion,Business,136500,3.99,360.0,2160.0,45-54,1
Personal Loan,Business Expansion,Personal,296500,3.875,360.0,7440.0,45-54,0
Personal Loan,Business Expansion,Personal,266500,3.99,360.0,5820.0,55-64,1
Mortgage Loan,Business Expansion,Personal,86500,3.75,180.0,2100.0,65-74,0
Personal Loan,Other,Personal,496500,3.99,300.0,4740.0,55-64,1
Personal Loan,Business Expansion,Personal,216500,4.375,360.0,4620.0,45-54,0
Personal Loan,Business Expansion,Personal,156500,4.25,180.0,4620.0,55-64,0
Personal Loan,Other,Personal,256500,3.75,360.0,4860.0,45-54,0
Mortgage Loan,Business Expansion,Personal,136500,4.875,360.0,2760.0,55-64,0
Personal Loan,Other,Personal,266500,3.625,324.0,5340.0,65-74,0
Personal Loan,Business Expansion,Personal,216500,4.5,360.0,3900.0,65-74,0
Personal Loan,Other,Personal,546500,4.125,360.0,7140.0,25-34,0
Business Loan,Home Purchase,Business,316500,3.125,360.0,3120.0,45-54,0
Personal Loan,Home Purchase,Personal,356500,3.99,360.0,3300.0,25-34,1
Personal Loan,Education,Personal,486500,4.25,360.0,6060.0,65-74,0
Personal Loan,Other,Personal,216500,3.99,324.0,5820.0,35-44,1
Personal Loan,Other,Personal,236500,3.99,360.0,5820.0,45-54,1
Personal Loan,Other,Personal,676500,3.375,360.0,10260.0,45-54,0
Mortgage Loan,Home Purchase,Personal,76500,3.99,360.0,2580.0,45-54,1
Personal Loan,Other,Personal,396500,3.375,360.0,6540.0,35-44,0
Personal Loan,Business Expansion,Personal,346500,3.99,360.0,5280.0,35-44,1
Personal Loan,Home Purchase,Personal,176500,5.625,360.0,16860.0,25-34,0
Personal Loan,Home Purchase,Personal,686500,3.875,360.0,7320.0,35-44,0
Personal Loan,Business Expansion,Personal,366500,3.99,360.0,3060.0,65-74,1
Personal Loan,Other,Personal,606500,3.99,360.0,11820.0,55-64,1
Personal Loan,Business Expansion,Personal,446500,5.125,360.0,11880.0,35-44,0
Personal Loan,Business Expansion,Personal,726500,4.0,180.0,10980.0,35-44,0
Personal Loan,Business Expansion,Personal,166500,4.0,360.0,3240.0,25-34,0
Personal Loan,Home Purchase,Personal,146500,5.25,360.0,3900.0,25-34,0
Personal Loan,Home Purchase,Personal,566500,4.99,324.0,10500.0,35-44,0
Personal Loan,Business Expansion,Personal,236500,4.375,360.0,3480.0,25-34,0
Personal Loan,Business Expansion,Personal,486500,3.99,360.0,9540.0,35-44,1
Personal Loan,Education,Personal,626500,3.99,360.0,12000.0,55-64,1
Personal Loan,Business Expansion,Personal,186500,3.99,180.0,2940.0,55-64,0
Personal Loan,Other,Personal,486500,3.5,336.0,11520.0,25-34,0
Personal Loan,Home Purchase,Personal,216500,4.25,360.0,13500.0,35-44,0
Personal Loan,Other,Personal,986500,3.99,180.0,9420.0,55-64,1
Personal Loan,Home Purchase,Personal,446500,3.375,360.0,14760.0,35-44,0
Mortgage Loan,Other,Personal,206500,3.75,360.0,5760.0,35-44,0
Mortgage Loan,Other,Personal,256500,3.25,360.0,5760.0,45-54,0
Personal Loan,Home Purchase,Personal,686500,4.99,360.0,9180.0,45-54,0
Business Loan,Other,Business,226500,3.625,360.0,5760.0,45-54,0
Personal Loan,Business Expansion,Personal,716500,3.875,360.0,13080.0,45-54,0
Personal Loan,Other,Personal,246500,3.99,360.0,0.0,45-54,1
Personal Loan,Business Expansion,Personal,236500,3.69,360.0,2940.0,35-44,0
Personal Loan,Other,Personal,276500,3.99,360.0,8820.0,55-64,1
Mortgage Loan,Business Expansion,Personal,196500,3.0,360.0,4020.0,>74,0
Personal Loan,Home Purchase,Personal,756500,3.99,300.0,24360.0,35-44,1
Personal Loan,Home Purchase,Personal,66500,4.5,360.0,1200.0,<25,0
Business Loan,Business Expansion,Business,326500,4.375,360.0,5040.0,35-44,0
Personal Loan,Business Expansion,Personal,96500,4.875,360.0,2100.0,55-64,0
Personal Loan,Other,Personal,536500,3.875,360.0,7440.0,35-44,0
Business Loan,Home Purchase,Business,276500,3.99,360.0,4320.0,25-34,1
Personal Loan,Other,Personal,466500,4.5,360.0,6360.0,35-44,0
Personal Loan,Other,Personal,346500,3.99,360.0,6780.0,35-44,0
Personal Loan,Business Expansion,Personal,356500,3.99,360.0,10320.0,55-64,1
Personal Loan,Business Expansion,Personal,156500,3.99,360.0,3960.0,45-54,1
Personal Loan,Business Expansion,Personal,476500,4.875,360.0,8400.0,45-54,0
Business Loan,Business Expansion,Business,186500,3.99,360.0,2040.0,65-74,1
Personal Loan,Other,Personal,446500,3.5,360.0,3960.0,55-64,0
Personal Loan,Home Purchase,Personal,486500,4.375,360.0,15600.0,55-64,0
Personal Loan,Other,Personal,416500,3.75,360.0,4320.0,>74,0
Personal Loan,Home Purchase,Personal,696500,3.99,360.0,6900.0,55-64,1
Personal Loan,Business Expansion,Personal,246500,4.625,360.0,3360.0,35-44,0
Personal Loan,Home Purchase,Personal,576500,3.99,360.0,13260.0,45-54,0
Personal Loan,Business Expansion,Personal,226500,4.75,360.0,3120.0,45-54,0
Personal Loan,Business Expansion,Personal,356500,3.99,180.0,6000.0,45-54,1
Business Loan,Other,Business,526500,3.625,360.0,5760.0,25-34,0
Personal Loan,Business Expansion,Personal,456500,3.99,180.0,9720.0,55-64,1
Personal Loan,Other,Personal,406500,4.0,360.0,7140.0,25-34,0
Personal Loan,Business Expansion,Personal,396500,4.99,360.0,5340.0,45-54,0
Personal Loan,Home Purchase,Personal,456500,4.5,360.0,6660.0,35-44,0
Business Loan,Home Purchase,Business,126500,4.5,360.0,2640.0,45-54,0
Personal Loan,Other,Personal,476500,4.625,360.0,7500.0,<25,0
Business Loan,Other,Business,216500,3.99,360.0,5760.0,25-34,1
Personal Loan,Home Purchase,Personal,306500,3.99,360.0,4500.0,45-54,0
Personal Loan,Home Purchase,Personal,386500,4.56,360.0,6120.0,35-44,0
Personal Loan,Education,Personal,756500,3.99,360.0,11280.0,55-64,1
Personal Loan,Other,Personal,436500,3.75,360.0,24420.0,55-64,0
Personal Loan,Business Expansion,Personal,446500,4.125,360.0,6780.0,55-64,0
Personal Loan,Other,Personal,296500,3.99,360.0,7020.0,25-34,0
Personal Loan,Business Expansion,Personal,136500,5.5,360.0,6960.0,55-64,0
Personal Loan,Other,Personal,296500,3.625,360.0,5640.0,45-54,0
Personal Loan,Business Expansion,Personal,576500,3.99,360.0,22260.0,55-64,1
Personal Loan,Home Purchase,Personal,626500,4.25,360.0,7500.0,25-34,0
Personal Loan,Business Expansion,Personal,286500,4.5,360.0,9120.0,55-64,0
Personal Loan,Other,Personal,1206500,4.375,360.0,15000.0,55-64,0
Personal Loan,Home Purchase,Personal,316500,3.69,360.0,3540.0,35-44,0
Personal Loan,Business Expansion,Personal,256500,4.25,360.0,4620.0,55-64,0
Personal Loan,Other,Personal,206500,3.375,120.0,13680.0,55-64,0
Personal Loan,Home Purchase,Personal,586500,3.875,360.0,12600.0,25-34,0
Mortgage Loan,Other,Personal,336500,4.375,360.0,3840.0,65-74,0
Personal Loan,Other,Personal,86500,3.99,360.0,2520.0,>74,1
Personal Loan,Other,Personal,276500,3.99,300.0,4320.0,45-54,1
Personal Loan,Business Expansion,Personal,186500,3.99,300.0,1920.0,45-54,1
Personal Loan,Business Expansion,Personal,236500,3.875,360.0,3540.0,55-64,0
Personal Loan,Business Expansion,Personal,56500,5.5,360.0,1440.0,65-74,0
Business Loan,Other,Business,96500,3.99,360.0,2700.0,65-74,1
Business Loan,Business Expansion,Business,206500,4.75,360.0,4440.0,35-44,0
Business Loan,Other,Business,116500,3.99,180.0,1860.0,35-44,1
Personal Loan,Business Expansion,Personal,226500,3.99,360.0,4680.0,35-44,0
Personal Loan,Other,Personal,256500,3.375,360.0,4020.0,55-64,0
Mortgage Loan,Business Expansion,Personal,786500,3.99,360.0,7140.0,65-74,1
Personal Loan,Other,Personal,506500,4.0,360.0,9060.0,35-44,0
Mortgage Loan,Business Expansion,Personal,76500,3.75,240.0,1800.0,55-64,0
Personal Loan,Education,Personal,76500,4.25,144.0,7260.0,65-74,0
Business Loan,Home Purchase,Business,146500,4.99,324.0,5760.0,45-54,1
Business Loan,Business Expansion,Business,256500,3.99,300.0,2880.0,35-44,1
Personal Loan,Home Purchase,Personal,506500,3.625,360.0,6480.0,55-64,0
Business Loan,Other,Business,556500,3.99,360.0,5760.0,35-44,0
Personal Loan,Education,Personal,106500,5.375,360.0,3900.0,45-54,0
Business Loan,Other,Business,186500,4.375,360.0,8700.0,35-44,0
Personal Loan,Business Expansion,Personal,266500,3.99,360.0,3060.0,55-64,1
Personal Loan,Home Purchase,Personal,106500,3.99,300.0,3120.0,45-54,1
Personal Loan,Business Expansion,Personal,186500,3.75,180.0,5580.0,45-54,0
Business Loan,Business Expansion,Business,166500,4.375,360.0,2100.0,35-44,0
Personal Loan,Other,Personal,186500,3.99,144.0,5040.0,>74,1
Personal Loan,Other,Personal,506500,3.99,360.0,6780.0,45-54,1
Personal Loan,Other,Personal,236500,3.99,180.0,2880.0,>74,1
Business Loan,Business Expansion,Business,126500,4.375,360.0,4500.0,55-64,0
Personal Loan,Other,Personal,396500,3.875,360.0,5820.0,25-34,0
Personal Loan,Home Purchase,Personal,126500,4.375,360.0,6780.0,65-74,0
Personal Loan,Business Expansion,Personal,456500,3.625,360.0,4860.0,65-74,0
Personal Loan,Other,Personal,476500,3.875,360.0,12180.0,25-34,0
Personal Loan,Business Expansion,Personal,376500,3.99,360.0,12780.0,65-74,1
Personal Loan,Business Expansion,Personal,276500,5.25,360.0,6660.0,55-64,0
Personal Loan,Home Purchase,Personal,546500,4.375,360.0,12240.0,45-54,0
Business Loan,Home Purchase,Business,346500,3.99,360.0,6540.0,35-44,0
Personal Loan,Business Expansion,Personal,146500,3.99,300.0,1920.0,55-64,1
Personal Loan,Home Purchase,Personal,296500,4.375,360.0,8760.0,25-34,0
Personal Loan,Business Expansion,Personal,186500,3.99,360.0,3240.0,65-74,1
Business Loan,Business Expansion,Business,366500,3.99,360.0,7680.0,35-44,1
Personal Loan,Business Expansion,Personal,326500,4.75,360.0,3960.0,35-44,0
Personal Loan,Other,Personal,676500,3.25,360.0,8640.0,35-44,0
Personal Loan,Home Purchase,Personal,156500,3.99,180.0,6780.0,55-64,1
Business Loan,Other,Business,516500,3.99,360.0,5760.0,25-34,0
Personal Loan,Other,Personal,266500,3.99,360.0,3300.0,55-64,1
Personal Loan,Business Expansion,Personal,156500,4.5,360.0,4080.0,45-54,0
Business Loan,Business Expansion,Business,86500,3.375,180.0,4080.0,55-64,0
Personal Loan,Other,Personal,276500,3.99,360.0,4080.0,35-44,0
Mortgage Loan,Other,Personal,576500,3.99,360.0,5760.0,65-74,1
Personal Loan,Business Expansion,Personal,286500,4.375,360.0,5280.0,35-44,0
Business Loan,Home Purchase,Business,516500,3.625,360.0,6000.0,35-44,0
Personal Loan,Other,Personal,586500,3.125,180.0,12000.0,45-54,0
Personal Loan,Home Purchase,Personal,186500,4.56,360.0,7500.0,25-34,0
Business Loan,Business Expansion,Business,156500,3.99,240.0,3840.0,35-44,1
Personal Loan,Business Expansion,Personal,266500,4.75,180.0,9720.0,45-54,0
Personal Loan,Business Expansion,Personal,266500,4.75,360.0,5520.0,35-44,0
Personal Loan,Other,Personal,236500,3.99,360.0,10080.0,65-74,1
Personal Loan,Home Purchase,Personal,136500,3.99,360.0,3360.0,25-34,1
Personal Loan,Business Expansion,Personal,306500,3.99,360.0,3240.0,>74,1
Personal Loan,Home Purchase,Personal,396500,3.99,360.0,5520.0,25-34,1
Personal Loan,Other,Personal,306500,3.99,360.0,18000.0,55-64,1
Personal Loan,Business Expansion,Personal,486500,3.99,360.0,0.0,25-34,1
Mortgage Loan,Home Purchase,Personal,126500,3.99,360.0,2580.0,55-64,1
Personal Loan,Other,Personal,556500,3.99,360.0,67860.0,35-44,1
Personal Loan,Business Expansion,Personal,546500,3.99,360.0,9180.0,25-34,1
Personal Loan,Other,Personal,586500,4.56,360.0,11040.0,45-54,0
Mortgage Loan,Other,Personal,286500,2.75,360.0,5760.0,35-44,0
Personal Loan,Other,Personal,146500,3.99,180.0,4980.0,65-74,1
Personal Loan,Other,Personal,626500,4.0,360.0,9660.0,35-44,0
Mortgage Loan,Other,Personal,456500,2.75,360.0,5760.0,35-44,0
Personal Loan,Other,Personal,226500,4.5,360.0,6900.0,25-34,0
Personal Loan,Other,Personal,236500,3.875,240.0,2820.0,35-44,0
Business Loan,Business Expansion,Business,106500,3.99,360.0,3660.0,55-64,1
Personal Loan,Business Expansion,Personal,726500,3.99,360.0,10020.0,65-74,0
Business Loan,Home Purchase,Business,336500,3.25,360.0,8100.0,35-44,0
Personal Loan,Other,Personal,446500,4.25,360.0,11100.0,45-54,0
Personal Loan,Other,Personal,606500,2.975,360.0,10920.0,35-44,0
Personal Loan,Other,Personal,396500,2.875,180.0,7080.0,35-44,0
Personal Loan,Business Expansion,Personal,116500,5.375,360.0,5160.0,45-54,0
Personal Loan,Home Purchase,Personal,446500,4.125,360.0,8220.0,25-34,0
Business Loan,Home Purchase,Business,486500,3.25,360.0,5160.0,35-44,0
Personal Loan,Business Expansion,Personal,166500,4.5,360.0,3180.0,65-74,0
Personal Loan,Other,Personal,306500,3.99,180.0,7320.0,65-74,1
Personal Loan,Business Expansion,Personal,566500,5.25,360.0,7980.0,55-64,0
Personal Loan,Business Expansion,Personal,136500,4.25,360.0,2280.0,65-74,0
Business Loan,Other,Business,326500,3.25,360.0,5760.0,35-44,0
Personal Loan,Other,Personal,166500,3.25,360.0,2820.0,45-54,0
Personal Loan,Education,Personal,416500,3.375,360.0,9660.0,35-44,0
Personal Loan,Other,Personal,686500,3.875,360.0,11880.0,55-64,0
Personal Loan,Other,Personal,266500,3.5,180.0,7020.0,65-74,0
Personal Loan,Other,Personal,546500,3.625,360.0,8220.0,35-44,0
Personal Loan,Business Expansion,Personal,436500,3.99,360.0,3780.0,55-64,1
Personal Loan,Other,Personal,476500,4.0,360.0,6540.0,45-54,0
Personal Loan,Business Expansion,Personal,86500,4.625,360.0,3540.0,55-64,0
Personal Loan,Home Purchase,Personal,276500,4.0,360.0,5580.0,35-44,0
Personal Loan,Other,Personal,486500,3.75,360.0,8400.0,35-44,0
Business Loan,Business Expansion,Business,236500,4.99,360.0,6900.0,25-34,0
Personal Loan,Home Purchase,Personal,356500,3.99,360.0,6600.0,55-64,1
Personal Loan,Business Expansion,Personal,256500,6.24,360.0,30780.0,65-74,0
Personal Loan,Education,Personal,356500,4.625,360.0,15900.0,35-44,0
Personal Loan,Home Purchase,Personal,356500,3.125,360.0,7080.0,25-34,0
